cow,date,hour,Walk,Rest,Eat,ACTIVITY_LEVEL,Target
7163,3/2/2015,1,185.517,3414.482,0,-755.64814,0
7163,3/2/2015,2,0,3599.999,0,-827.99977,0
7163,3/2/2015,3,10.661,3589.338,0,-823.84198,0
7163,3/2/2015,4,43.8,3556.199,0,-810.91777,0
7163,3/2/2015,5,17.167,3582.832,0,-821.30464,0
7163,3/2/2015,6,1313.335,509.689,1776.975,839.23463,0
7163,3/2/2015,7,153.857,0,3446.142,1471.99676,0
7163,3/2/2015,8,450.335,365.718,2780.39,1155.70226,0
7163,3/2/2015,9,2627.864,195.151,776.984,701.90679,0
7163,3/2/2015,10,1222.628,273.509,2099.134,1014.34969,0
7163,3/2/2015,11,439.437,1276.548,1884.014,567.98976,0
7163,3/2/2015,12,425.763,2353.28,813.856,-131.3128,0
7163,3/2/2015,13,117.726,1735.951,1746.322,353.02267,0
7163,3/2/2015,14,300.151,0,3299.848,1433.96032,0
7163,3/2/2015,15,2674.217,889.699,36.083,238.39881,0
7163,3/2/2015,16,706.747,34.92,2858.332,1305.54736,0
7163,3/2/2015,17,44.955,0,3555.044,1500.31128,0
7163,3/2/2015,18,34.895,0,3565.104,1502.92688,0
7163,3/2/2015,19,399.289,2496.764,695.666,-218.18976,0
7163,3/2/2015,20,21.281,3578.718,0,-819.70018,0
7163,3/2/2015,21,431.525,318.039,2850.435,1193.07773,0
7163,3/2/2015,22,423.649,3045.686,130.664,-577.84506,0
7163,3/2/2015,23,0,3599.999,0,-827.99977,0
7163,3/2/2015,24,947.136,2509.267,131.778,-370.24289,0
7163,3/3/2015,1,504.702,3095.297,0,-631.16599,0
7163,3/3/2015,2,65.59,3534.409,0,-802.41967,0
7163,3/3/2015,3,49.535,3550.464,0,-808.68112,0
7163,3/3/2015,4,1.848,3598.151,0,-827.27905,0
7163,3/3/2015,5,5.905,3594.094,0,-825.69682,0
7163,3/3/2015,6,1429.505,454.387,1716.107,844.97673,0
7163,3/3/2015,7,468.761,277.317,2853.921,1209.86567,0
7163,3/3/2015,8,67.99,3532.009,0,-801.48367,0
7163,3/3/2015,9,1132.539,1968.982,498.478,-62.29886,0
7163,3/3/2015,10,1386.231,18.916,2184.213,1134.81574,0
7163,3/3/2015,11,2587.931,141.793,870.275,746.97207,0
7163,3/3/2015,12,16.581,3583.418,0,-821.53318,0
7163,3/3/2015,13,162.774,1852.128,1585.097,265.79514,0
7163,3/3/2015,14,1968.806,42.615,1555.427,958.48685,0
7163,3/3/2015,15,2208.22,0,1391.779,937.86238,0
7163,3/3/2015,16,203.066,0,3396.933,1459.20242,0
7163,3/3/2015,17,901.063,469.797,2207.839,963.40915,0
7163,3/3/2015,18,351.914,2717.896,530.189,-346.13046,0
7163,3/3/2015,19,313.111,3286.888,0,-705.88648,0
7163,3/3/2015,20,84.932,3515.067,0,-794.87629,0
7163,3/3/2015,21,2.369,3597.63,0,-827.07586,0
7163,3/3/2015,22,900.301,1142.107,1535.13,526.11815,0
7163,3/3/2015,23,187.971,1692.436,1719.592,363.04372,0
7163,3/3/2015,24,56.751,3543.248,0,-805.86688,0
7163,3/4/2015,1,0,3599.999,0,-827.99977,0
7163,3/4/2015,2,49.658,3550.341,0,-808.63315,0
7163,3/4/2015,3,24.821,3575.178,0,-818.31958,0
7163,3/4/2015,4,25.415,3574.584,0,-818.08792,0
7163,3/4/2015,5,213.267,3386.732,0,-744.82564,0
7163,3/4/2015,6,1603.179,529.429,1467.391,751.04419,0
7163,3/4/2015,7,1135.618,0,2464.381,1216.7389,0
7163,3/4/2015,8,1900.548,1195.537,503.914,240.75805,0
7163,3/4/2015,9,542.627,3056.188,0,-616.10292,0
7163,3/4/2015,10,866.704,2724.433,8.862,-484.22491,0
7163,3/4/2015,11,278.408,1274.633,2046.958,611.10205,0
7163,3/4/2015,12,858.877,25.401,2697.997,1264.73683,0
7163,3/4/2015,13,1085.039,760.463,1734.393,727.14481,0
7163,3/4/2015,14,1347.524,2251.292,1.183,-301.69646,0
7163,3/4/2015,15,2964.164,243.911,391.924,582.77479,0
7163,3/4/2015,16,561.37,28.397,2998.996,1342.86621,0
7163,3/4/2015,17,323.309,31.915,3244.775,1407.19449,0
7163,3/4/2015,18,586.051,1066.59,1927.267,657.9046,0
7163,3/4/2015,19,427.009,2787.332,385.658,-410.78856,0
7163,3/4/2015,20,163.587,3436.412,0,-764.20084,0
7163,3/4/2015,21,110.419,3489.58,0,-784.93636,0
7163,3/4/2015,22,220.896,3379.103,0,-741.85033,0
7163,3/4/2015,23,160.001,580.936,2816.546,1074.9342,0
7163,3/4/2015,24,247.981,1609.756,1742.262,401.18312,0
7163,3/5/2015,1,315.349,2350.343,934.307,-97.71411,1
7163,3/5/2015,2,330.673,2720.901,548.425,-342.56105,1
7163,3/5/2015,3,77.339,3522.66,0,-797.83756,1
7163,3/5/2015,4,562.048,3034.411,0,-607.98685,1
7163,3/5/2015,5,43.097,3556.902,0,-811.19194,1
7163,3/5/2015,6,1395.35,1131.252,1073.397,413.89478,1
7163,3/5/2015,7,1905.205,0,1694.794,1016.64628,1
7163,3/5/2015,8,734.77,2839.829,25.4,-524.92947,1
7163,3/5/2015,9,0,3599.999,0,-827.99977,1
7163,3/5/2015,10,453.936,1348.68,1782.797,511.2081,1
7163,3/5/2015,11,729.206,0,2858.217,1317.1241,1
7163,3/5/2015,12,688.838,2260.862,650.299,-136.6586,1
7163,3/5/2015,13,381.73,1448.644,1767.258,470.13704,1
7163,3/5/2015,14,1051.252,332.331,2208.131,1019.17921,1
7163,3/5/2015,15,1848.802,1751.197,0,-106.96699,1
7163,3/5/2015,16,417.482,0,3165.325,1396.23362,1
7163,3/5/2015,17,1086.738,86.519,2426.742,1173.21035,1
7163,3/5/2015,18,486.675,2871.34,241.984,-480.90692,1
7163,3/5/2015,19,232.247,1111.305,2256.447,729.26711,1
7163,3/5/2015,20,165.428,3434.571,0,-763.48285,1
7163,3/5/2015,21,102.786,3497.213,0,-787.91323,1
7163,3/5/2015,22,80.926,3519.073,0,-796.43863,1
7163,3/5/2015,23,30.719,3569.28,0,-816.01936,1
7163,3/5/2015,24,423.43,1697.161,1430.398,278.16893,1
7163,3/6/2015,1,523.779,715.24,2360.98,910.91104,1
7163,3/6/2015,2,105.707,3494.292,0,-786.77404,1
7163,3/6/2015,3,2.365,3597.634,0,-827.07742,1
7163,3/6/2015,4,16.53,3583.469,0,-821.55307,1
7163,3/6/2015,5,0,3599.999,0,-827.99977,1
7163,3/6/2015,6,1432.438,363.838,1803.723,903.071,1
7163,3/6/2015,7,2736.628,108.069,686.205,701.21071,1
7163,3/6/2015,8,466.48,3129.11,4.409,-643.20672,1
7163,3/6/2015,9,398.185,2960.8,241.014,-516.04852,1
7163,3/6/2015,10,455.476,199.158,2945.365,1264.12312,1
7163,3/6/2015,11,450.804,3127.325,0,-647.15611,1
7163,3/6/2015,12,12.423,3587.576,0,-823.1548,1
7163,3/6/2015,13,1012.662,681.284,1906.053,805.87286,1
7163,3/6/2015,14,1809.038,59.247,340.944,419.01575,1
7163,3/6/2015,15,3079.911,0,520.088,711.22272,1
7163,3/6/2015,16,711.87,341.825,2546.304,1104.72713,1
7163,3/6/2015,17,725.468,2847.22,27.311,-527.3151,1
7163,3/6/2015,18,518.07,1916.996,1164.933,131.25398,1
7163,3/6/2015,19,267.969,334.758,2949.949,1204.85928,1
7163,3/6/2015,20,37.258,3562.741,0,-813.46915,1
7163,3/6/2015,21,158.771,3441.228,0,-766.07908,1
7163,3/6/2015,22,46.121,3553.878,0,-810.01258,1
7163,3/6/2015,23,563.375,2976.351,60.273,-569.10607,1
7163,3/6/2015,24,684.848,2873.793,41.358,-534.02635,1
7163,3/7/2015,1,7.089,3592.91,0,-825.23506,1
7163,3/7/2015,2,74.46,3518.445,7.094,-794.34927,1
7163,3/7/2015,3,38.385,3561.614,0,-813.02962,1
7163,3/7/2015,4,11.816,3588.183,0,-823.39153,1
7163,3/7/2015,5,18.911,3581.088,0,-820.62448,1
7163,3/7/2015,6,2061.877,1093.341,444.781,265.23991,1
7163,3/7/2015,7,928.712,46.097,2610.416,1234.36633,1
7163,3/7/2015,8,126.509,0,3473.49,1479.10724,1
7163,3/7/2015,9,416.217,0,3183.782,1403.78316,1
7163,3/7/2015,10,584.181,104.776,2911.042,1292.00812,1
7163,3/7/2015,11,394.545,3205.454,0,-674.12722,1
7163,3/7/2015,12,37.452,3562.547,0,-813.39349,1
7163,3/7/2015,13,510.33,1304.486,1766.754,523.6577,1
7163,3/7/2015,14,3.572,3596.427,0,-826.60669,1
7163,3/7/2015,15,2007.805,581.621,1010.573,611.91663,1
7163,3/7/2015,16,114.687,0,3485.312,1482.18096,1
7163,3/7/2015,17,241.033,0,3323.938,1434.61924,1
7163,3/7/2015,18,136.467,2221.381,1242.151,32.62051,1
7163,3/7/2015,19,12.43,3587.569,0,-823.15207,1
7163,3/7/2015,20,0,3599.999,0,-827.99977,1
7163,3/7/2015,21,386.231,3213.768,0,-677.36968,1
7163,3/7/2015,22,0,3599.999,0,-827.99977,1
7163,3/7/2015,23,35.519,3564.48,0,-814.14736,1
7163,3/7/2015,24,31.985,3568.014,0,-815.52562,1
7163,3/8/2015,1,37.889,3562.11,0,-813.22306,1
7163,3/8/2015,2,0,3599.999,0,-827.99977,1
7163,3/8/2015,3,4.74,3595.259,0,-826.15117,1
