Cow_ID,Day,Breed,Months after giving birth,Previous_Mastits_status,IUFL,EUFL,IUFR,EUFR,IURL,EURL,IURR,EURR,Temperature,Hardness,Pain,Milk_visibility
cow321,1,Jersey,4,0,235,253,196,233,324,257,274,174,24,1,0,0
cow812,4,Jersey,6,0,222,318,269,189,299,367,164,242,58,1,1,0
cow652,4,Jersey,1,1,210,306,246,241,186,299,188,261,36,0,1,0
cow742,1,Jersey,6,0,307,355,255,347,179,185,168,156,56,1,1,0
cow986,4,Jersey,3,0,183,341,335,253,142,227,130,274,58,0,1,0
cow575,1,Jersey,3,1,289,322,308,245,267,247,130,161,32,0,1,1
cow63,2,Jersey,6,1,288,225,177,178,298,350,218,347,46,1,0,1
cow12,2,Jersey,3,1,171,347,149,201,189,226,186,289,57,0,1,1
cow207,1,Jersey,6,1,227,341,175,338,215,175,212,355,50,0,1,0
cow845,1,Jersey,6,1,147,343,243,276,324,257,259,332,49,1,1,1
cow502,1,Jersey,1,0,248,307,201,192,252,310,143,173,35,1,1,0
cow711,3,Jersey,6,0,216,313,254,163,316,306,150,224,34,1,0,1
cow131,3,Jersey,1,1,294,154,307,279,186,311,153,174,28,0,1,0
cow960,5,Jersey,3,1,217,327,221,303,161,229,266,172,55,0,0,1
cow1006,4,Jersey,1,1,182,240,193,288,257,360,179,233,26,1,1,0
cow99,1,hostlene,3,0,273,322,237,241,134,207,146,252,51,1,1,1
cow772,4,Jersey,3,1,156,296,277,324,267,218,197,275,56,0,1,1
cow787,2,Jersey,1,0,242,242,335,379,274,305,148,179,25,1,0,1
cow1025,5,Jersey,5,1,254,305,300,360,282,284,242,296,34,1,1,1
cow205,1,Jersey,1,0,270,361,326,367,279,232,308,232,50,1,0,0
cow999,2,Jersey,1,1,131,351,200,360,264,158,252,154,37,0,0,1
cow933,4,Jersey,3,1,216,281,221,320,138,159,232,263,31,0,0,0
cow507,6,Jersey,5,0,131,166,309,261,141,289,200,268,31,1,0,1
cow964,5,Jersey,5,1,242,203,324,161,154,278,196,234,34,0,0,1
cow182,3,Jersey,6,1,215,220,279,151,189,336,240,351,58,0,1,0
cow97,3,Jersey,2,1,222,283,186,175,256,255,159,251,42,0,1,1
cow636,1,Jersey,1,0,236,235,231,162,215,234,153,185,27,1,0,0
cow898,1,Jersey,2,1,147,223,261,314,219,354,250,279,43,1,0,0
cow368,2,Jersey,3,0,210,252,276,382,171,302,257,296,41,0,1,0
cow676,4,Jersey,1,1,222,353,244,373,170,229,195,180,30,1,0,0
cow281,3,Jersey,6,1,155,211,274,198,280,337,305,267,56,0,0,1
cow188,4,Jersey,5,1,204,155,228,201,323,238,189,311,47,1,0,0
cow386,5,Jersey,2,0,173,256,237,267,296,258,150,203,38,0,0,0
cow696,6,Jersey,1,1,315,319,137,269,170,256,123,217,35,0,0,0
cow43,2,Jersey,3,0,230,294,304,242,292,324,280,322,45,0,1,0
cow273,2,Jersey,4,0,178,331,326,255,191,309,131,205,51,0,0,0
cow658,5,Jersey,1,1,312,316,162,181,211,246,202,225,37,0,0,0
cow149,5,Jersey,1,0,281,156,230,390,304,165,183,359,35,0,0,1
cow69,6,Jersey,4,0,236,233,230,267,233,233,190,196,56,1,1,0
cow951,4,Jersey,6,1,231,177,284,306,277,294,247,196,54,1,0,1
cow974,4,Jersey,6,1,208,363,308,255,315,178,279,214,56,0,1,0
cow796,2,Jersey,6,1,194,189,329,266,301,157,170,318,53,1,0,1
cow556,6,Jersey,6,0,213,371,244,319,142,260,140,269,42,1,0,0
cow148,4,Jersey,4,1,319,344,175,283,171,281,207,206,40,1,0,1
cow599,6,Jersey,1,0,235,162,206,228,293,262,310,199,27,1,0,0
cow477,6,Jersey,2,1,140,187,221,206,161,157,187,348,28,1,1,1
cow155,3,Jersey,5,0,133,173,283,158,170,260,191,267,42,1,0,0
cow112,2,Jersey,1,1,244,300,230,263,176,367,175,318,39,1,0,0
cow573,3,Jersey,2,1,151,201,180,273,221,226,199,318,30,0,0,0
cow287,3,Jersey,5,1,303,202,329,369,235,312,293,252,44,0,1,0
cow917,6,Jersey,6,1,248,259,328,156,222,354,292,320,37,0,1,0
cow111,4,Jersey,5,1,206,283,219,257,298,163,231,262,40,1,1,1
cow790,6,Jersey,6,1,210,278,269,235,153,294,234,280,37,1,0,1
cow50,4,Jersey,4,1,192,367,313,230,309,247,205,162,53,0,1,0
cow1005,2,Jersey,2,0,242,226,250,201,142,258,305,293,33,1,1,1
cow116,6,Jersey,2,1,184,222,312,202,268,311,131,221,54,0,1,1
cow1030,6,Jersey,6,0,261,286,249,316,205,227,315,276,38,0,1,0
cow740,4,Jersey,4,1,270,267,193,348,260,329,170,278,55,0,0,1
cow467,6,Jersey,5,0,247,288,321,377,304,347,240,346,49,0,1,0
cow262,1,Jersey,5,1,181,303,207,325,150,326,199,173,49,1,0,0
cow46,2,Jersey,6,1,196,331,322,356,324,372,139,198,33,0,0,0
cow749,5,Jersey,2,0,300,264,318,155,172,200,173,181,28,0,1,1
